"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"FF","2025-09-16","97.8","-2.41","5.51","Skenes, Paul",663538,694973,"single","hit_into_play",,,,,11,"Nico Hoerner singles on a ground ball to shortstop Nick Gonzales. Michael Busch to 2nd.","R","R","R","PIT","CHC","X",6,"ground_ball",1,2,2025,"-1.26","0.8","-0.7","3.69",,,683737,2,4,"Top",121.94,146.8,,,,,7.594716863756935,-142.271913788688,-1.250415948237038,-18.861630198166317,33.67782950017046,-21.208311385731214,"3.31","1.55",53,"55.1",5,"98.5",2332,"6.8",776308,680779,687462,694377,669707,693304,669261,665833,672744,"53.73",0.091,0.097,"0.9",1,1,0,1,33,7,"4-Seam Fastball",1,3,3,1,3,1,3,1,"Standard","Strategic",239,"-0.015","0.439","63.2","5.8",0.104,"-0.439","88.0",-2,2,"0.281","0.719",23,28,23,28,3,2,6,1,,1,"1.59","1.26","1.26","20.4",3.6672518775359877,10.051646066685791,19.332677789536696,26.925732954092698,19.079674979101178
"SL","2025-09-16","86.2","-2.31","5.43","Skenes, Paul",663538,694973,,"ball",,,,,14,"Nico Hoerner singles on a ground ball to shortstop Nick Gonzales. Michael Busch to 2nd.","R","R","R","PIT","CHC","B",,,0,2,2025,"0.67","0.65","2.33","1.72",,,683737,2,4,"Top",,,,,,,9.722977385416646,-125.0977565835983,-3.848882581551479,4.818482650972622,27.771388489841755,-24.736054906146514,"3.21","1.45",,,,"86.5",2075,"6.8",776308,680779,687462,694377,669707,693304,669261,665833,672744,"53.66",,,,,,,,33,6,"Slider",1,3,3,1,3,1,3,1,"Standard","Strategic",111,"0","0.009",,,,"-0.009",,-2,2,"0.281","0.719",23,28,23,28,3,2,6,1,,1,"2.46","-0.67","-0.67","24.1",,,,,
"CH","2025-09-16","89.1","-2.58","5.42","Skenes, Paul",663538,694973,,"foul",,,,,13,"Nico Hoerner singles on a ground ball to shortstop Nick Gonzales. Michael Busch to 2nd.","R","R","R","PIT","CHC","S",,,0,2,2025,"-1.38","0.3","-1.25","1.73",,,683737,2,4,"Top",,,,,,,6.216133588945789,-129.48767541781078,-3.5978517138910604,-16.86482753033591,30.20744911999705,-28.237921248939273,"3.31","1.55",3,"89.3",-26,"89.2",1765,"6.7",776308,680779,687462,694377,669707,693304,669261,665833,672744,"53.82",,,,,,,,33,5,"Changeup",1,3,3,1,3,1,3,1,"Standard","Strategic",264,"0","0","64.4","8.2",,"0","89.3",-2,2,"0.281","0.719",23,28,23,28,3,2,6,1,,1,"2.61","1.38","1.38","17.7",23.23927236163358,-35.86170711536116,38.36165023113392,21.094333748567593,39.36555715205262
"SL","2025-09-16","84.9","-2.5","5.46","Skenes, Paul",663538,694973,,"foul",,,,,1,"Nico Hoerner singles on a ground ball to shortstop Nick Gonzales. Michael Busch to 2nd.","R","R","R","PIT","CHC","S",,,0,2,2025,"-0.01","0.66","-0.64","3.11",,,683737,2,4,"Top",,,,,,,4.409403901897327,-123.62241809465635,-0.4534210211962558,-1.0229690629370651,26.357964073248453,-25.580414831416757,"3.31","1.55",260,"81.2",43,"85.6",2141,"6.9",776308,680779,687462,694377,669707,693304,669261,665833,672744,"53.64",,,,,,,,33,4,"Slider",1,3,3,1,3,1,3,1,"Standard","Strategic",91,"0","0","66.9","7.2",,"0","88.0",-2,2,"0.281","0.719",23,28,23,28,3,2,6,1,,1,"2.52","0.01","0.01","23.6",11.419465623315764,-20.163636236186395,24.88391464028384,28.004997110611875,34.73774582325561
"FF","2025-09-16","97.5","-2.35","5.56","Skenes, Paul",663538,694973,,"foul",,,,,2,"Nico Hoerner singles on a ground ball to shortstop Nick Gonzales. Michael Busch to 2nd.","R","R","R","PIT","CHC","S",,,0,2,2025,"-0.88","1.17","-0.13","3.38",,,683737,2,4,"Top",,,,,,,8.06191100172632,-141.82370522221981,-3.110425012335933,-13.617181872978005,31.102000813445997,-15.769272617934087,"3.31","1.55",209,"72.5",51,"98.6",2374,"6.8",776308,680779,687462,694377,669707,693304,669261,665833,672744,"53.67",,,,,,,,33,3,"4-Seam Fastball",1,3,3,1,3,1,3,1,"Standard","Standard",238,"0","0","64.8","5.9",,"0","88.0",-2,2,"0.281","0.719",23,28,23,28,3,2,6,1,,1,"1.22","0.88","0.88","20.3",-1.365640072213756,13.799354245534392,25.743627308493622,33.9164045827021,21.652949481967603
"ST","2025-09-16","85.4","-2.38","5.52","Skenes, Paul",663538,694973,,"foul",,,,,12,"Nico Hoerner singles on a ground ball to shortstop Nick Gonzales. Michael Busch to 2nd.","R","R","R","PIT","CHC","S",,,0,1,2025,"1","0.54","1","2.5",,,683737,2,4,"Top",,,,,,,6.011400627897009,-124.22342847388708,-1.8364235248038279,8.893512049580341,28.165928902848314,-26.500314120879157,"3.31","1.55",145,"59.4",57,"85.8",2502,"6.9",776308,680779,687462,694377,669707,693304,669261,665833,672744,"53.62",,,,,,,,33,2,"Sweeper",1,3,3,1,3,1,3,1,"Standard","Standard",107,"0","-0.055","66.4","7.8",,"0.055","88.0",-2,2,"0.281","0.719",23,28,23,28,3,2,6,1,,1,"2.63","-1","-1","22.6",10.925609937709385,-12.766459799346986,22.754323318241063,48.27155204166826,38.37909426707763
"SL","2025-09-16","85.9","-2.52","5.55","Skenes, Paul",663538,694973,,"called_strike",,,,,4,"Nico Hoerner singles on a ground ball to shortstop Nick Gonzales. Michael Busch to 2nd.","R","R","R","PIT","CHC","S",,,0,0,2025,"0.19","0.55","-0.62","2.62",,,683737,2,4,"Top",,,,,,,4.141655205210624,-125.03913100050136,-1.7301013691525196,1.0939339402094164,27.777422987578934,-26.34655642290525,"3.31","1.51",,,,"86.4",2396,"6.8",776308,680779,687462,694377,669707,693304,669261,665833,672744,"53.7",,,,,,,,33,1,"Slider",1,3,3,1,3,1,3,1,"Standard","Strategic",131,"0","-0.043",,,,"0.043",,-2,2,"0.281","0.719",23,28,23,28,3,2,6,1,,1,"2.57","-0.19","-0.19","22.7",,,,,
"FF","2025-09-16","97.2","-2.89","5.57","Skenes, Paul",683737,694973,"walk","ball",,,,,11,"Michael Busch walks.","R","L","R","PIT","CHC","B",,,3,1,2025,"-1.08","1.06","-0.39","4.02",,,,2,4,"Top",,,,,,,9.230324857716974,-141.25114493565783,-1.0076128132049949,-16.65549979224738,34.95247562767805,-18.067328750598637,"3.25","1.65",,,,"97.2",2208,"6.6",776308,680779,687462,694377,669707,693304,669261,665833,672744,"53.92",,0.692731,"0.7",1,0,0,,32,5,"4-Seam Fastball",1,3,3,1,3,1,3,1,"Standard","Standard",245,"-0.01","0.18",,,,"-0.18",,-2,2,"0.291","0.709",23,27,23,28,3,2,6,1,,1,"1.38","1.08","-1.08","22.0",,,,,
"FF","2025-09-16","97.7","-2.86","5.58","Skenes, Paul",683737,694973,,"called_strike",,,,,5,"Michael Busch walks.","R","L","R","PIT","CHC","S",,,3,0,2025,"-1.17","0.9","0.03","2.29",,,,2,4,"Top",,,,,,,10.54882382840677,-141.77548640117408,-5.401021557521918,-18.27986083352923,33.89801560930552,-18.927038603018932,"3.31","1.65",,,,"98",2269,"6.7",776308,680779,687462,694377,669707,693304,669261,665833,672744,"53.8",,,,,,,,32,4,"4-Seam Fastball",1,3,3,1,3,1,3,1,"Standard","Standard",240,"0","-0.075",,,,"0.075",,-2,2,"0.291","0.709",23,27,23,28,3,2,6,1,,1,"1.51","1.17","-1.17","24.6",,,,,
"FS","2025-09-16","94.8","-3.02","5.57","Skenes, Paul",683737,694973,,"ball",,,,,11,"Michael Busch walks.","R","L","R","PIT","CHC","B",,,2,0,2025,"-1.11","0.33","-1.04","2.79",,,,2,4,"Top",,,,,,,7.702306058807388,-137.82806865837665,-2.356441179944683,-15.889028782091449,29.852146172034228,-27.662245553350555,"3.31","1.57",,,,"95.5",1592,"6.7",776308,680779,687462,694377,669707,693304,669261,665833,672744,"53.84",,,,,,,,32,3,"Split-Finger",1,3,3,1,3,1,3,1,"Standard","Standard",246,"0","0.124",,,,"-0.124",,-2,2,"0.291","0.709",23,27,23,28,3,2,6,1,,1,"2.21","1.11","-1.11","20.8",,,,,
