pitch_type,release_speed,release_pos_x,release_pos_z,events,description,zone,stand,type,hit_location,bb_type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,hit_distance_sc,launch_speed,launch_angle,release_spin_rate,release_extension,game_pk,fielder_2,launch_speed_angle,at_bat_number,pitch_number,bat_score,fld_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game
FF,97.8,-2.41,5.51,single,hit_into_play,11,R,X,6,ground_ball,1,2,-1.26,0.8,-0.7,3.69,,,683737,2,4,Top,121.94,146.8,53,55.1,5,2332,6.8,776308,680779,1,33,7,3,1,3,1,Standard,Strategic,3,2,6
SL,86.2,-2.31,5.43,,ball,14,R,B,,,0,2,0.67,0.65,2.33,1.72,,,683737,2,4,Top,,,,,,2075,6.8,776308,680779,,33,6,3,1,3,1,Standard,Strategic,3,2,6
CH,89.1,-2.58,5.42,,foul,13,R,S,,,0,2,-1.38,0.3,-1.25,1.73,,,683737,2,4,Top,,,3,89.3,-26,1765,6.7,776308,680779,,33,5,3,1,3,1,Standard,Strategic,3,2,6
SL,84.9,-2.5,5.46,,foul,1,R,S,,,0,2,-0.01,0.66,-0.64,3.11,,,683737,2,4,Top,,,260,81.2,43,2141,6.9,776308,680779,,33,4,3,1,3,1,Standard,Strategic,3,2,6
FF,97.5,-2.35,5.56,,foul,2,R,S,,,0,2,-0.88,1.17,-0.13,3.38,,,683737,2,4,Top,,,209,72.5,51,2374,6.8,776308,680779,,33,3,3,1,3,1,Standard,Standard,3,2,6
ST,85.4,-2.38,5.52,,foul,12,R,S,,,0,1,1,0.54,1,2.5,,,683737,2,4,Top,,,145,59.4,57,2502,6.9,776308,680779,,33,2,3,1,3,1,Standard,Standard,3,2,6
SL,85.9,-2.52,5.55,,called_strike,4,R,S,,,0,0,0.19,0.55,-0.62,2.62,,,683737,2,4,Top,,,,,,2396,6.8,776308,680779,,33,1,3,1,3,1,Standard,Strategic,3,2,6
FF,97.2,-2.89,5.57,walk,ball,11,L,B,,,3,1,-1.08,1.06,-0.39,4.02,,,,2,4,Top,,,,,,2208,6.6,776308,680779,,32,5,3,1,3,1,Standard,Standard,3,2,6
FF,97.7,-2.86,5.58,,called_strike,5,L,S,,,3,0,-1.17,0.9,0.03,2.29,,,,2,4,Top,,,,,,2269,6.7,776308,680779,,32,4,3,1,3,1,Standard,Standard,3,2,6
FS,94.8,-3.02,5.57,,ball,11,L,B,,,2,0,-1.11,0.33,-1.04,2.79,,,,2,4,Top,,,,,,1592,6.7,776308,680779,,32,3,3,1,3,1,Standard,Standard,3,2,6
CH,89.4,-2.96,5.54,,ball,14,L,B,,,1,0,-1.47,0.42,0,1.05,,,,2,4,Top,,,,,,1818,6.5,776308,680779,,32,2,3,1,3,1,Standard,Standard,3,2,6
CH,89.9,-3.05,5.52,,ball,11,L,B,,,0,0,-1.34,0.55,-1.47,2.9,,,,2,4,Top,,,,,,1699,6.6,776308,680779,,32,1,3,1,3,1,Standard,Standard,3,2,6
CH,88.2,-2.66,5.42,strikeout,swinging_strike_blocked,13,R,S,2,,1,2,-1.42,0.31,-0.28,0.63,,,,1,4,Top,,,,,,1652,6.6,776308,680779,,31,4,3,1,3,1,Standard,Standard,2,1,6
SL,84.1,-2.4,5.49,,foul,4,R,S,,,1,1,0.32,0.49,-0.48,2.51,,,,1,4,Top,,,303,88.6,39,2314,6.7,776308,680779,,31,3,3,1,3,1,Standard,Standard,2,1,6
ST,83.6,-2.39,5.57,,called_strike,2,R,S,,,1,0,1.07,0.25,0,3.07,,,,1,4,Top,,,,,,2406,6.7,776308,680779,,31,2,3,1,3,1,Standard,Standard,2,1,6
ST,84,-2.4,5.55,,ball,12,R,B,,,0,0,0.96,0.54,0.96,2.61,,,,1,4,Top,,,,,,2364,6.8,776308,680779,,31,1,3,1,3,1,Standard,Standard,2,1,6
FF,97.3,-2.89,5.53,strikeout,foul_tip,5,L,S,2,,1,2,-1.2,0.98,-0.05,2.85,,,,0,4,Top,,,,,,2382,6.6,776308,680779,,30,4,3,1,3,1,Strategic,Standard,2,1,6
CH,89.1,-3.01,5.49,,swinging_strike,13,L,S,,,1,1,-1.56,0.42,-0.28,1.24,,,,0,4,Top,,,,,,1779,6.7,776308,680779,,30,3,3,1,3,1,Standard,Standard,2,1,6
FF,96.9,-2.9,5.53,,foul,2,L,S,,,1,0,-1.11,0.84,-0.16,2.94,,,,0,4,Top,,,55,90.3,1,2277,6.8,776308,680779,,30,2,3,1,3,1,Standard,Standard,2,1,6
CU,82.1,-3.03,5.64,,ball,14,L,B,,,0,0,0.66,-0.38,0.34,0.94,,,,0,4,Top,,,,,,2525,6.7,776308,680779,,30,1,3,1,3,1,Standard,Standard,2,1,6
SI,96.4,-2.52,5.59,grounded_into_double_play,hit_into_play,13,R,X,5,ground_ball,1,2,-1.41,0.66,-1.2,2.01,,,608348,1,3,Top,114.32,170.43,10,71.1,-10,2337,6.7,776308,680779,2,24,5,3,1,3,1,Standard,Standard,2,1,6
CH,89.5,-2.52,5.56,,foul,13,R,S,,,1,2,-1.44,0.83,-1.48,2.46,,,608348,1,3,Top,,,,,,1830,6.7,776308,680779,,24,4,3,1,3,1,Standard,Standard,2,1,6
FF,97,-2.47,5.59,,ball,11,R,B,,,0,2,-1.24,1.06,-0.29,4.21,,,608348,1,3,Top,,,,,,2379,6.6,776308,680779,,24,3,3,1,3,1,Standard,Standard,2,1,6
ST,83.4,-2.45,5.5,,foul,5,R,S,,,0,1,1.04,0.27,-0.08,2.75,,,608348,1,3,Top,,,256,104.7,16,2273,6.9,776308,680779,,24,2,3,1,3,1,Standard,Standard,2,1,6
SI,96.5,-2.44,5.61,,foul,13,R,S,,,0,0,-1.64,0.49,-0.86,2.25,,,608348,1,3,Top,,,,,,2347,6.6,776308,680779,,24,1,3,1,3,1,Standard,Standard,2,1,6
