pitch_type,zone,stand,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,game_pk,fielder_2,at_bat_number,pitch_number,if_fielding_alignment,of_fielding_alignment,home_score_diff,bat_score_diff,bat_win_exp,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game
FF,11,R,1,2,,,683737,2,4,Top,776308,680779,33,7,Standard,Strategic,-2,2,0.719,28,3,2,6
SL,14,R,0,2,,,683737,2,4,Top,776308,680779,33,6,Standard,Strategic,-2,2,0.719,28,3,2,6
CH,13,R,0,2,,,683737,2,4,Top,776308,680779,33,5,Standard,Strategic,-2,2,0.719,28,3,2,6
SL,1,R,0,2,,,683737,2,4,Top,776308,680779,33,4,Standard,Strategic,-2,2,0.719,28,3,2,6
FF,2,R,0,2,,,683737,2,4,Top,776308,680779,33,3,Standard,Standard,-2,2,0.719,28,3,2,6
ST,12,R,0,1,,,683737,2,4,Top,776308,680779,33,2,Standard,Standard,-2,2,0.719,28,3,2,6
SL,4,R,0,0,,,683737,2,4,Top,776308,680779,33,1,Standard,Strategic,-2,2,0.719,28,3,2,6
FF,11,L,3,1,,,,2,4,Top,776308,680779,32,5,Standard,Standard,-2,2,0.709,28,3,2,6
FF,5,L,3,0,,,,2,4,Top,776308,680779,32,4,Standard,Standard,-2,2,0.709,28,3,2,6
FS,11,L,2,0,,,,2,4,Top,776308,680779,32,3,Standard,Standard,-2,2,0.709,28,3,2,6
CH,14,L,1,0,,,,2,4,Top,776308,680779,32,2,Standard,Standard,-2,2,0.709,28,3,2,6
CH,11,L,0,0,,,,2,4,Top,776308,680779,32,1,Standard,Standard,-2,2,0.709,28,3,2,6
CH,13,R,1,2,,,,1,4,Top,776308,680779,31,4,Standard,Standard,-2,2,0.721,24,2,1,6
SL,4,R,1,1,,,,1,4,Top,776308,680779,31,3,Standard,Standard,-2,2,0.721,24,2,1,6
ST,2,R,1,0,,,,1,4,Top,776308,680779,31,2,Standard,Standard,-2,2,0.721,24,2,1,6
ST,12,R,0,0,,,,1,4,Top,776308,680779,31,1,Standard,Standard,-2,2,0.721,24,2,1,6
FF,5,L,1,2,,,,0,4,Top,776308,680779,30,4,Strategic,Standard,-2,2,0.738,28,2,1,6
CH,13,L,1,1,,,,0,4,Top,776308,680779,30,3,Standard,Standard,-2,2,0.738,28,2,1,6
FF,2,L,1,0,,,,0,4,Top,776308,680779,30,2,Standard,Standard,-2,2,0.738,28,2,1,6
CU,14,L,0,0,,,,0,4,Top,776308,680779,30,1,Standard,Standard,-2,2,0.738,28,2,1,6
SI,13,R,1,2,,,608348,1,3,Top,776308,680779,24,5,Standard,Standard,-2,2,0.722,31,2,1,6
CH,13,R,1,2,,,608348,1,3,Top,776308,680779,24,4,Standard,Standard,-2,2,0.722,31,2,1,6
FF,11,R,0,2,,,608348,1,3,Top,776308,680779,24,3,Standard,Standard,-2,2,0.722,31,2,1,6
ST,5,R,0,1,,,608348,1,3,Top,776308,680779,24,2,Standard,Standard,-2,2,0.722,31,2,1,6
SI,13,R,0,0,,,608348,1,3,Top,776308,680779,24,1,Standard,Standard,-2,2,0.722,31,2,1,6
FF,1,L,2,2,,,608348,0,3,Top,776308,680779,23,5,Standard,Standard,-2,2,0.748,23,2,1,6
FF,11,L,1,2,,,608348,0,3,Top,776308,680779,23,4,Standard,Standard,-2,2,0.748,23,2,1,6
CH,7,L,1,1,,,608348,0,3,Top,776308,680779,23,3,Standard,Standard,-2,2,0.748,23,2,1,6
SI,1,L,1,0,,,608348,0,3,Top,776308,680779,23,2,Standard,Standard,-2,2,0.748,23,2,1,6
FF,11,L,0,0,,,608348,0,3,Top,776308,680779,23,1,Standard,Standard,-2,2,0.748,23,2,1,6
FF,1,R,2,2,,,,0,3,Top,776308,680779,22,5,Standard,Standard,-2,2,0.721,31,2,1,6
ST,11,R,1,2,,,,0,3,Top,776308,680779,22,4,Standard,Standard,-2,2,0.721,31,2,1,6
ST,14,R,0,2,,,,0,3,Top,776308,680779,22,3,Standard,Standard,-2,2,0.721,31,2,1,6
FF,3,R,0,1,,,,0,3,Top,776308,680779,22,2,Standard,Standard,-2,2,0.721,31,2,1,6
ST,9,R,0,0,,,,0,3,Top,776308,680779,22,1,Standard,Standard,-2,2,0.721,31,2,1,6
SI,6,L,2,2,,,663538,2,2,Top,776308,680779,18,7,Strategic,Standard,-2,2,0.687,22,2,1,6
CH,13,L,2,2,,,663538,2,2,Top,776308,680779,18,6,Strategic,Standard,-2,2,0.687,22,2,1,6
CU,14,L,1,2,,,663538,2,2,Top,776308,680779,18,5,Strategic,Standard,-2,2,0.687,22,2,1,6
FF,11,L,1,2,,,663538,2,2,Top,776308,680779,18,4,Strategic,Standard,-2,2,0.687,22,2,1,6
CH,13,L,1,1,,,663538,2,2,Top,776308,680779,18,3,Standard,Standard,-2,2,0.687,22,2,1,6
FF,11,L,0,1,,,663538,2,2,Top,776308,680779,18,2,Standard,Standard,-2,2,0.687,22,2,1,6
FF,11,L,0,0,,,663538,2,2,Top,776308,680779,18,1,Standard,Standard,-2,2,0.687,22,2,1,6
FF,1,L,2,2,683737,,663538,1,2,Top,776308,680779,17,5,Standard,Standard,-1,1,0.668,31,2,1,6
CH,14,L,1,2,683737,,663538,1,2,Top,776308,680779,17,4,Standard,Standard,-1,1,0.668,31,2,1,6
FF,3,L,1,1,683737,,663538,1,2,Top,776308,680779,17,3,Standard,Standard,-1,1,0.668,31,2,1,6
FF,1,L,0,1,683737,,663538,1,2,Top,776308,680779,17,2,Standard,Standard,-1,1,0.668,31,2,1,6
FF,1,L,0,0,683737,,663538,1,2,Top,776308,680779,17,1,Standard,Standard,-1,1,0.668,31,2,1,6
FF,5,R,1,1,,683737,,1,2,Top,776308,680779,16,3,Standard,Standard,-1,1,0.626,28,2,1,6
FF,12,R,0,1,,683737,,1,2,Top,776308,680779,16,2,Standard,Standard,-1,1,0.626,28,2,1,6
SI,5,R,0,0,,683737,,1,2,Top,776308,680779,16,1,Standard,Standard,-1,1,0.626,28,2,1,6
ST,8,L,0,2,,,,1,2,Top,776308,680779,15,3,Strategic,Standard,-1,1,0.588,28,2,1,6
FF,1,L,0,1,,,,1,2,Top,776308,680779,15,2,Standard,Standard,-1,1,0.588,28,2,1,6
ST,4,L,0,0,,,,1,2,Top,776308,680779,15,1,Standard,Standard,-1,1,0.588,28,2,1,6
ST,3,R,1,2,,,,0,2,Top,776308,680779,14,6,Standard,Standard,-1,1,0.608,24,1,0,6
ST,4,R,1,2,,,,0,2,Top,776308,680779,14,5,Standard,Standard,-1,1,0.608,24,1,0,6
FF,1,R,1,2,,,,0,2,Top,776308,680779,14,4,Standard,Standard,-1,1,0.608,24,1,0,6
ST,1,R,1,1,,,,0,2,Top,776308,680779,14,3,Standard,Standard,-1,1,0.608,24,1,0,6
SI,13,R,0,1,,,,0,2,Top,776308,680779,14,2,Standard,Standard,-1,1,0.608,24,1,0,6
ST,6,R,0,0,,,,0,2,Top,776308,680779,14,1,Standard,Standard,-1,1,0.608,24,1,0,6
FF,4,L,2,2,694208,691718,621020,2,1,Top,776308,680779,8,5,Standard,Standard,-2,2,0.711,28,1,0,6
FF,2,L,2,1,694208,691718,621020,2,1,Top,776308,680779,8,4,Standard,Standard,-2,2,0.711,28,1,0,6
FF,11,L,1,1,694208,691718,621020,2,1,Top,776308,680779,8,3,Standard,Standard,-2,2,0.711,28,1,0,6
FF,11,L,0,1,694208,691718,621020,2,1,Top,776308,680779,8,2,Standard,Standard,-2,2,0.711,28,1,0,6
FF,2,L,0,0,694208,691718,621020,2,1,Top,776308,680779,8,1,Standard,Standard,-2,2,0.711,28,1,0,6
SI,11,R,3,2,,694208,691718,2,1,Top,776308,680779,7,7,Standard,Standard,-2,2,0.69,31,1,0,6
ST,4,R,3,2,,694208,691718,2,1,Top,776308,680779,7,6,Standard,Standard,-2,2,0.69,31,1,0,6
CH,13,R,2,2,,694208,691718,2,1,Top,776308,680779,7,5,Standard,Standard,-2,2,0.69,31,1,0,6
FF,3,R,1,2,,694208,691718,2,1,Top,776308,680779,7,4,Standard,Standard,-2,2,0.69,31,1,0,6
ST,6,R,1,1,,694208,691718,2,1,Top,776308,680779,7,3,Standard,Standard,-2,2,0.69,31,1,0,6
SI,13,R,0,1,,694208,691718,2,1,Top,776308,680779,7,2,Standard,Standard,-2,2,0.69,31,1,0,6
SI,7,R,0,0,,694208,691718,2,1,Top,776308,680779,7,1,Standard,Standard,-2,2,0.69,31,1,0,6
CH,13,L,1,0,,664023,694208,2,1,Top,776308,680779,6,2,Standard,Standard,-1,1,0.596,23,1,0,6
FF,11,L,0,0,,664023,694208,2,1,Top,776308,680779,6,1,Standard,Standard,-1,1,0.596,23,1,0,6
ST,6,R,1,2,,664023,694208,1,1,Top,776308,680779,5,4,Standard,Standard,-1,1,0.634,31,1,0,6
ST,2,R,1,1,,664023,694208,1,1,Top,776308,680779,5,3,Standard,Standard,-1,1,0.634,31,1,0,6
SI,6,R,1,0,,664023,694208,1,1,Top,776308,680779,5,2,Standard,Standard,-1,1,0.634,31,1,0,6
SI,14,R,0,0,,664023,694208,1,1,Top,776308,680779,5,1,Standard,Standard,-1,1,0.634,31,1,0,6
FS,4,L,2,1,,,664023,1,1,Top,776308,680779,4,4,Standard,Standard,-1,1,0.603,22,1,0,6
CH,14,L,1,1,,,664023,1,1,Top,776308,680779,4,3,Standard,Standard,-1,1,0.603,22,1,0,6
FF,14,L,0,1,,,664023,1,1,Top,776308,680779,4,2,Standard,Standard,-1,1,0.603,22,1,0,6
FF,2,L,0,0,,,664023,1,1,Top,776308,680779,4,1,Standard,Standard,-1,1,0.603,22,1,0,6
ST,13,L,3,2,,,,1,1,Top,776308,680779,3,6,Strategic,Standard,-1,1,0.581,31,1,0,6
FF,11,L,2,2,,,,1,1,Top,776308,680779,3,5,Strategic,Standard,-1,1,0.581,31,1,0,6
FF,2,L,2,1,,,,1,1,Top,776308,680779,3,4,Standard,Standard,-1,1,0.581,31,1,0,6
CH,13,L,1,1,,,,1,1,Top,776308,680779,3,3,Standard,Standard,-1,1,0.581,31,1,0,6
ST,14,L,0,1,,,,1,1,Top,776308,680779,3,2,Standard,Standard,-1,1,0.581,31,1,0,6
FF,2,L,0,0,,,,1,1,Top,776308,680779,3,1,Standard,Standard,-1,1,0.581,31,1,0,6
SI,5,R,0,0,,,,0,1,Top,776308,680779,2,1,Standard,Standard,-1,1,0.601,28,1,0,6
CU,8,L,2,1,,,,0,1,Top,776308,680779,1,4,Standard,Standard,0,0,0.5,28,1,0,6
FF,11,L,1,1,,,,0,1,Top,776308,680779,1,3,Standard,Standard,0,0,0.5,28,1,0,6
FF,2,L,1,0,,,,0,1,Top,776308,680779,1,2,Standard,Standard,0,0,0.5,28,1,0,6
FF,11,L,0,0,,,,0,1,Top,776308,680779,1,1,Standard,Standard,0,0,0.5,28,1,0,6
FF,11,L,0,2,,,,2,5,Bot,776387,680779,32,3,Infield shade,Standard,-1,-1,0.349,27,2,1,6
FF,11,L,0,1,,,,2,5,Bot,776387,680779,32,2,Standard,Standard,-1,-1,0.349,27,2,1,6
CU,4,L,0,0,,,,2,5,Bot,776387,680779,32,1,Standard,Standard,-1,-1,0.349,27,2,1,6
CH,4,L,1,2,,,,1,5,Bot,776387,680779,31,4,Infield shade,Standard,-1,-1,0.373,25,2,1,6
FF,11,L,0,2,,,,1,5,Bot,776387,680779,31,3,Infield shade,Standard,-1,-1,0.373,25,2,1,6
FS,4,L,0,1,,,,1,5,Bot,776387,680779,31,2,Standard,Standard,-1,-1,0.373,25,2,1,6
FS,14,L,0,0,,,,1,5,Bot,776387,680779,31,1,Standard,Standard,-1,-1,0.373,25,2,1,6
FF,6,L,2,2,,,,0,5,Bot,776387,680779,30,6,Infield shade,Standard,-1,-1,0.407,21,2,1,6
CH,13,L,1,2,,,,0,5,Bot,776387,680779,30,5,Infield shade,Standard,-1,-1,0.407,21,2,1,6
CH,13,L,1,2,,,,0,5,Bot,776387,680779,30,4,Strategic,Standard,-1,-1,0.407,21,2,1,6
SL,14,L,0,2,,,,0,5,Bot,776387,680779,30,3,Strategic,Standard,-1,-1,0.407,21,2,1,6
FF,11,L,0,1,,,,0,5,Bot,776387,680779,30,2,Infield shade,Standard,-1,-1,0.407,21,2,1,6
FS,7,L,0,0,,,,0,5,Bot,776387,680779,30,1,Standard,Standard,-1,-1,0.407,21,2,1,6
ST,14,R,0,2,,,,2,4,Bot,776387,680779,26,3,Standard,Standard,-1,-1,0.369,28,2,1,6
ST,9,R,0,1,,,,2,4,Bot,776387,680779,26,2,Standard,Standard,-1,-1,0.369,28,2,1,6
ST,5,R,0,0,,,,2,4,Bot,776387,680779,26,1,Standard,Standard,-1,-1,0.369,28,2,1,6
FS,13,L,2,0,,,,1,4,Bot,776387,680779,25,3,Standard,Standard,-1,-1,0.391,24,2,1,6
CU,13,L,1,0,,,,1,4,Bot,776387,680779,25,2,Standard,Standard,-1,-1,0.391,24,2,1,6
FF,11,L,0,0,,,,1,4,Bot,776387,680779,25,1,Standard,Standard,-1,-1,0.391,24,2,1,6
ST,6,R,2,1,,,,0,4,Bot,776387,680779,24,4,Standard,Standard,-1,-1,0.421,25,2,1,6
SI,14,R,1,1,,,,0,4,Bot,776387,680779,24,3,Standard,Standard,-1,-1,0.421,25,2,1,6
SI,6,R,1,0,,,,0,4,Bot,776387,680779,24,2,Standard,Standard,-1,-1,0.421,25,2,1,6
FF,14,R,0,0,,,,0,4,Bot,776387,680779,24,1,Standard,Standard,-1,-1,0.421,25,2,1,6
CH,13,L,1,2,,687637,,2,3,Bot,776387,680779,19,4,Standard,Standard,0,0,0.538,22,2,1,6
CH,13,L,0,2,,687637,,2,3,Bot,776387,680779,19,3,Standard,Standard,0,0,0.538,22,2,1,6
FS,13,L,0,1,,687637,,2,3,Bot,776387,680779,19,2,Standard,Standard,0,0,0.538,22,2,1,6
FS,13,L,0,0,,687637,,2,3,Bot,776387,680779,19,1,Standard,Standard,0,0,0.538,22,2,1,6
ST,5,R,2,2,,687637,,1,3,Bot,776387,680779,18,5,Standard,Standard,0,0,0.576,24,1,0,6
ST,14,R,1,2,,687637,,1,3,Bot,776387,680779,18,4,Standard,Standard,0,0,0.576,24,1,0,6
FF,2,R,1,1,,687637,,1,3,Bot,776387,680779,18,3,Standard,Standard,0,0,0.576,24,1,0,6
FF,11,R,0,1,,687637,,1,3,Bot,776387,680779,18,2,Standard,Standard,0,0,0.576,24,1,0,6
SI,2,R,0,0,,687637,,1,3,Bot,776387,680779,18,1,Standard,Standard,0,0,0.576,24,1,0,6
FF,2,L,0,2,,,,1,3,Bot,776387,680779,17,3,Standard,Standard,0,0,0.529,24,1,0,6
FF,1,L,0,1,,,,1,3,Bot,776387,680779,17,2,Standard,Standard,0,0,0.529,24,1,0,6
CU,14,L,0,0,,,,1,3,Bot,776387,680779,17,1,Standard,Standard,0,0,0.529,24,1,0,6
FF,3,L,1,2,,,,0,3,Bot,776387,680779,16,4,Standard,Standard,0,0,0.554,27,1,0,6
FF,2,L,1,1,,,,0,3,Bot,776387,680779,16,3,Standard,Standard,0,0,0.554,27,1,0,6
ST,6,L,1,0,,,,0,3,Bot,776387,680779,16,2,Standard,Standard,0,0,0.554,27,1,0,6
FF,13,L,0,0,,,,0,3,Bot,776387,680779,16,1,Standard,Standard,0,0,0.554,27,1,0,6
FF,11,L,3,2,,,,2,2,Bot,776387,680779,12,6,Standard,Standard,0,0,0.511,25,1,0,6
CH,13,L,2,2,,,,2,2,Bot,776387,680779,12,5,Standard,Standard,0,0,0.511,25,1,0,6
FS,13,L,2,1,,,,2,2,Bot,776387,680779,12,4,Standard,Standard,0,0,0.511,25,1,0,6
ST,5,L,2,0,,,,2,2,Bot,776387,680779,12,3,Standard,Standard,0,0,0.511,25,1,0,6
FS,11,L,1,0,,,,2,2,Bot,776387,680779,12,2,Standard,Standard,0,0,0.511,25,1,0,6
CU,13,L,0,0,,,,2,2,Bot,776387,680779,12,1,Standard,Standard,0,0,0.511,25,1,0,6
FF,5,L,1,0,,,663624,0,2,Bot,776387,680779,11,2,Standard,Standard,0,0,0.588,21,1,0,6
FS,14,L,0,0,,,663624,0,2,Bot,776387,680779,11,1,Standard,Standard,0,0,0.588,21,1,0,6
SI,7,R,3,2,,,,0,2,Bot,776387,680779,10,6,Standard,Standard,0,0,0.55,28,1,0,6
ST,13,R,2,2,,,,0,2,Bot,776387,680779,10,5,Standard,Standard,0,0,0.55,28,1,0,6
FF,12,R,1,2,,,,0,2,Bot,776387,680779,10,4,Standard,Standard,0,0,0.55,28,1,0,6
ST,3,R,1,1,,,,0,2,Bot,776387,680779,10,3,Standard,Standard,0,0,0.55,28,1,0,6
FF,12,R,0,1,,,,0,2,Bot,776387,680779,10,2,Standard,Standard,0,0,0.55,28,1,0,6
SI,2,R,0,0,,,,0,2,Bot,776387,680779,10,1,Standard,Standard,0,0,0.55,28,1,0,6
FF,6,L,2,2,,,,2,1,Bot,776387,680779,6,5,Standard,Standard,0,0,0.51,24,1,0,6
FS,13,L,2,1,,,,2,1,Bot,776387,680779,6,4,Standard,Standard,0,0,0.51,24,1,0,6
FS,14,L,2,0,,,,2,1,Bot,776387,680779,6,3,Standard,Standard,0,0,0.51,24,1,0,6
